,time,0.0,1.0,2.0,mean0,std0,mean1,std1,mean2,std2,posX,posY
0,2023-07-05 17:28:04.057000+02:00,-69.71428571428571,-71.0,-76.54545454545455,-68.83142857142857,2.2638772199432298,-70.28181818181818,4.552767771755824,-70.78354545454546,3.618402871506941,0.5,0.5
1,2023-07-05 17:28:04.157000+02:00,-70.23809523809524,-71.81818181818181,-77.27272727272728,-68.77619047619048,2.192664134268432,-70.22,4.509433899816276,-70.84,3.697920992402125,0.5,0.5
2,2023-07-05 17:28:04.257000+02:00,-70.76190476190476,-71.63636363636364,-77.45454545454545,-68.73533101045295,2.134317685501506,-70.15454545454546,4.463500521267622,-70.9000909090909,3.781253245810978,0.5,0.5
3,2023-07-05 17:28:04.357000+02:00,-71.28571428571429,-71.45454545454545,-76.9090909090909,-68.70885017421602,2.0930814629188514,-70.08545454545455,4.414874274446189,-70.94927272727273,3.843842712764445,0.5,0.5
4,2023-07-05 17:28:04.457000+02:00,-71.80952380952381,-71.27272727272727,-76.36363636363636,-68.69674796747967,2.0728691024787804,-70.01272727272728,4.363443486770102,-70.98754545454545,3.888675907301316,0.5,0.5
5,2023-07-05 17:28:04.557000+02:00,-72.33333333333333,-71.0909090909091,-75.81818181818181,-68.6990243902439,2.0768753792170624,-69.93636363636364,4.309076426864021,-71.0149090909091,3.918238965787749,0.5,0.5
6,2023-07-05 17:28:04.657000+02:00,-72.85714285714286,-70.9090909090909,-75.27272727272727,-68.7156794425087,2.1072042474587103,-69.85636363636362,4.25161919885941,-71.03136363636364,3.93465207748048,0.5,0.5
7,2023-07-05 17:28:04.757000+02:00,-73.38095238095238,-70.72727272727273,-74.72727272727273,-68.7467131242741,2.164638626940703,-69.77272727272727,4.190893194163319,-71.03690909090909,3.939760671764765,0.5,0.5
8,2023-07-05 17:28:04.857000+02:00,-73.9047619047619,-70.54545454545455,-74.18181818181819,-68.79212543554007,2.2486387792344806,-69.68545454545455,4.1266919895794825,-71.03154545454545,3.935199132982397,0.5,0.5
9,2023-07-05 17:28:04.957000+02:00,-74.42857142857143,-70.36363636363636,-73.63636363636364,-68.85191637630662,2.357563352711813,-69.59454545454545,4.058777544533919,-71.01527272727272,3.922436312859212,0.5,0.5
10,2023-07-05 17:28:05.057000+02:00,-74.95238095238095,-70.18181818181819,-73.0909090909091,-68.92608594657376,2.489021435458646,-69.5,3.98687549997728,-70.9880909090909,3.902808504997712,0.5,0.5
11,2023-07-05 17:28:05.157000+02:00,-75.47619047619048,-69.72727272727273,-72.54545454545455,-69.01463414634146,2.6402386860710587,-69.39636363636365,3.910008090184227,-70.95,3.8775434527804378,0.5,0.5
12,2023-07-05 17:28:05.257000+02:00,-74.72727272727273,-69.45454545454545,-71.9090909090909,-69.09210643015521,2.7498582032546985,-69.2890909090909,3.831001096922493,-70.89918181818182,3.847269238743074,0.5,0.5
13,2023-07-05 17:28:05.357000+02:00,-73.45454545454545,-69.18181818181819,-71.81818181818181,-69.1480266075388,2.810131467114142,-69.17818181818183,3.749760660265724,-70.85754545454546,3.825333174963615,0.5,0.5
14,2023-07-05 17:28:05.457000+02:00,-72.18181818181819,-68.9090909090909,-71.72727272727273,-69.18239467849224,2.836927382485701,-69.06363636363636,3.666169589678032,-70.8250909090909,3.810610728452637,0.5,0.5
15,2023-07-05 17:28:05.557000+02:00,-70.9090909090909,-68.63636363636364,-71.63636363636364,-69.19521064301553,2.8433731931143984,-68.94545454545455,3.580083962791594,-70.80181818181819,3.801846405863395,0.5,0.5
16,2023-07-05 17:28:05.657000+02:00,-69.63636363636364,-68.36363636363636,-71.54545454545455,-69.18647450110865,2.8412909206340267,-68.82363636363637,3.491328921106072,-70.78772727272728,3.79767277118206,0.5,0.5
17,2023-07-05 17:28:05.757000+02:00,-68.36363636363636,-68.0909090909091,-71.45454545454545,-69.15618625277162,2.841840052822218,-68.69818181818182,3.399693417268954,-70.78281818181819,3.7966279489963295,0.5,0.5
18,2023-07-05 17:28:05.857000+02:00,-67.0909090909091,-67.81818181818181,-71.36363636363636,-69.10434589800444,2.855643293645806,-68.5690909090909,3.304923572163892,-70.7870909090909,3.79716978340102,0.5,0.5
19,2023-07-05 17:28:05.957000+02:00,-65.81818181818181,-67.54545454545455,-71.27272727272727,-69.0309534368071,2.892505246000145,-68.43636363636364,3.2067141571417217,-70.80054545454546,3.7976851388129225,0.5,0.5
20,2023-07-05 17:28:06.057000+02:00,-64.54545454545455,-67.27272727272727,-71.18181818181819,-68.9360088691796,2.960843846005696,-68.3,3.104697500195158,-70.82318181818182,3.79649311443524,0.5,0.5
21,2023-07-05 17:28:06.157000+02:00,-63.27272727272727,-66.27272727272727,-71.0909090909091,-68.81951219512194,3.0670443904127738,-68.15636363636364,3.02650572219684,-70.855,3.791841097063589,0.5,0.5
22,2023-07-05 17:28:06.257000+02:00,-62.23809523809524,-65.54545454545455,-71.18181818181819,-68.68622531939606,3.2050699826373625,-68.00909090909092,2.969130548130244,-70.89963636363636,3.7820819534815033,0.5,0.5
23,2023-07-05 17:28:06.357000+02:00,-62.47619047619048,-64.81818181818181,-71.36363636363636,-68.56160278745645,3.3231984691569565,-67.8581818181818,2.934844262477869,-70.95890909090909,3.76529398933324,0.5,0.5
24,2023-07-05 17:28:06.457000+02:00,-62.71428571428572,-64.0909090909091,-71.54545454545455,-68.44564459930314,3.4245664583994846,-67.70363636363636,2.925499295709299,-71.03281818181819,3.739202399475989,0.5,0.5
