index,time,0,distance,posX,posY
86,2023-07-14 15:26:12.885000+02:00,-73,2.0,2.0,0.0
87,2023-07-14 15:26:13.886000+02:00,-71,2.0,2.0,0.0
88,2023-07-14 15:26:14.889000+02:00,-59,2.0,2.0,0.0
89,2023-07-14 15:26:15.892000+02:00,-57,2.0,2.0,0.0
90,2023-07-14 15:26:17.896000+02:00,-64,2.0,2.0,0.0
91,2023-07-14 15:26:18.898000+02:00,-67,2.0,2.0,0.0
92,2023-07-14 15:26:19.901000+02:00,-66,2.0,2.0,0.0
93,2023-07-14 15:26:20.902000+02:00,-69,2.0,2.0,0.0
94,2023-07-14 15:26:21.905000+02:00,-61,2.0,2.0,0.0
95,2023-07-14 15:26:22.906000+02:00,-60,2.0,2.0,0.0
96,2023-07-14 15:26:23.908000+02:00,-66,2.5,2.5,0.0
97,2023-07-14 15:26:24.910000+02:00,-69,2.5,2.5,0.0
98,2023-07-14 15:26:26.915000+02:00,-63,2.5,2.5,0.0
99,2023-07-14 15:26:27.918000+02:00,-65,2.5,2.5,0.0
100,2023-07-14 15:26:29.924000+02:00,-59,2.5,2.5,0.0
101,2023-07-14 15:26:32.930000+02:00,-62,2.5,2.5,0.0
102,2023-07-14 15:26:33.932000+02:00,-61,2.5,2.5,0.0
103,2023-07-14 15:26:34.934000+02:00,-68,2.5,2.5,0.0
104,2023-07-14 15:26:36.938000+02:00,-70,2.5,2.5,0.0
105,2023-07-14 15:26:37.941000+02:00,-67,2.5,2.5,0.0
106,2023-07-14 15:26:38.942000+02:00,-73,2.5,2.5,0.0
107,2023-07-14 15:26:39.944000+02:00,-70,2.5,2.5,0.0
108,2023-07-14 15:26:40.947000+02:00,-69,2.5,2.5,0.0
109,2023-07-14 15:26:41.948000+02:00,-67,2.5,2.5,0.0
110,2023-07-14 15:26:42.951000+02:00,-59,2.5,2.5,0.0
111,2023-07-14 15:26:46.960000+02:00,-61,2.5,2.5,0.0
